,ex_name,muscle_group,ex_mech_type,ex_type,ex_equipment,level,reps,sets,main-muscle-worked,movement_size,load_size
198,exercise ball pull-in,upperbody,Isolation,,exercise-ball,beginner,0,0,Abs,Small,Light
199,spider curl,upperbody,Isolation,Arm Curl,e-z-curl-bar,beginner,0,0,Biceps,Small,Light
200,smith machine shrug,upperbody,Isolation,Vertical Pull,machine,beginner,0,0,Traps,Small,Light
201,dips - triceps version,upperbody,Isolation,,body-only,beginner,0,0,Triceps,Small,Light
202,Face Pulls,upperbody,Isolation,Horizontal Pull,cables,beginner,12,3,Middle Back,Small,Light
203,barbell front-to-back squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
204,front squat (clean grip),lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
205,reverse band deadlift,lowerbody,Compound,Hinge,barbell,expert,0,0,Lower Back,Largest,Heaviest
206,front squat (bodybuilder),lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
207,front-to-back squat with belt,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
208,speed box squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
209,power snatch from blocks,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
210,snatch pull,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
211,heaving snatch balance,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
212,snatch balance,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
213,hanging bar good morning,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
214,stiff-legged deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
215,snatch from blocks,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
216,split clean,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
217,reverse band sumo deadlift,lowerbody,Compound,Squat,barbell,expert,0,0,Hamstrings,Largest,Heaviest
218,sumo deadlift with bands,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
219,squat jerk,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
220,hang snatch - below knees,lowerbody,Compound,Squat,barbell,expert,0,0,Hamstrings,Largest,Heaviest
221,reverse band power squat,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
222,muscle snatch,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
223,squat with bands,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
224,box squat with chains,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
225,good morning off pins,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
226,front barbell squat to a bench,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
227,squat with plate movers,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
228,barbell squat to a bench,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
229,clean pull,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
230,one-arm side deadlift,lowerbody,Compound,Hinge,barbell,expert,0,0,Quadriceps,Largest,Heaviest
231,speed squats,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
232,frankenstein squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
233,sumo deadlift with chains,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
234,overhead squat,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
235,jefferson squats,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
236,romanian deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
237,jerk dip squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
238,zercher squats,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
239,power jerk,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
240,wide-stance barbell squat,lowerbody,Compound,Squat,barbell,beginner,0,0,Glutes,Largest,Heaviest
241,stiff-legged barbell deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
242,barbell thruster,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
243,weighted sissy squat,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
244,deadlift with chains,lowerbody,Compound,Hinge,barbell,expert,0,0,Lower Back,Largest,Heaviest
245,hang clean - below the knees,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
246,good morning,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
247,barbell hack squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
248,wide stance stiff legs,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
249,clean,lowerbody,Compound,Squat,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
250,kneeling squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Glutes,Largest,Heaviest
251,hang snatch,lowerbody,Compound,Squat,barbell,expert,0,0,Hamstrings,Largest,Heaviest
252,power clean,lowerbody,Compound,Squat,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
253,snatch deadlift,lowerbody,Compound,Squat,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
254,barbell squat,lowerbody,Compound,Squat,barbell,beginner,0,0,Quadriceps,Largest,Heaviest
255,squat with chains,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
256,front barbell squat,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
257,box squat with bands,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
258,power clean from blocks,lowerbody,Compound,Squat,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
259,barbell hip thrust,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Glutes,Largest,Heaviest
260,narrow stance squats,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
261,olympic squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
262,romanian deadlift from deficit,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
263,reverse band box squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
264,sumo deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
265,hang clean,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
266,clean deadlift,lowerbody,Compound,Squat,barbell,beginner,0,0,Hamstrings,Largest,Heaviest
267,box squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
268,barbell full squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
269,barbell glute bridge,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Glutes,Largest,Heaviest
270,barbell deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
271,deficit deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Lower Back,Largest,Heaviest
272,barbell back squat,lowerbody,Compound,Squat,barbell,beginner,6,5,Quadriceps,Largest,Heaviest
273,barbell deadlift,lowerbody,Compound,Hinge,barbell,beginner,3,5,Hamstrings,Largest,Heaviest
274,barbell front squat,lowerbody,Compound,Squat,barbell,beginner,6,3,Quadriceps,Largest,Heaviest
275,barbell back squat,lowerbody,Compound,Squat,barbell,beginner,5,5,Quadriceps,Largest,Heaviest
276,barbell back squat,lowerbody,Compound,Squat,barbell,beginner,4,5,Quadriceps,Largest,Heaviest
277,barbell back squat,lowerbody,Compound,Squat,barbell,beginner,3,5,Quadriceps,Largest,Heaviest
278,barbell front-to-back squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
279,front squat (clean grip),lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
280,reverse band deadlift,lowerbody,Compound,Hinge,barbell,expert,0,0,Lower Back,Large,Heavy
281,front squat (bodybuilder),lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
282,front-to-back squat with belt,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
283,speed box squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
284,power snatch from blocks,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Quadriceps,Large,Heavy
285,snatch pull,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Large,Heavy
286,heaving snatch balance,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
287,snatch balance,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
288,hanging bar good morning,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Large,Heavy
289,stiff-legged deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Large,Heavy
290,snatch from blocks,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Large,Heavy
291,split clean,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
292,reverse band sumo deadlift,lowerbody,Compound,Squat,barbell,expert,0,0,Hamstrings,Large,Heavy
293,sumo deadlift with bands,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Large,Heavy
294,squat jerk,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Large,Heavy
295,hang snatch - below knees,lowerbody,Compound,Squat,barbell,expert,0,0,Hamstrings,Large,Heavy
296,reverse band power squat,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Large,Heavy
297,muscle snatch,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Large,Heavy
298,squat with bands,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
299,box squat with chains,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Large,Heavy
300,good morning off pins,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Large,Heavy
301,front barbell squat to a bench,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Large,Heavy
302,squat with plate movers,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
303,barbell squat to a bench,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Large,Heavy
304,clean pull,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
305,one-arm side deadlift,lowerbody,Compound,Hinge,barbell,expert,0,0,Quadriceps,Large,Heavy
306,speed squats,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Large,Heavy
307,frankenstein squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
308,sumo deadlift with chains,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Large,Heavy
309,overhead squat,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Large,Heavy
310,jefferson squats,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
311,romanian deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Large,Heavy
312,jerk dip squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
313,zercher squats,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Large,Heavy
314,power jerk,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Large,Heavy
315,wide-stance barbell squat,lowerbody,Compound,Squat,barbell,beginner,0,0,Glutes,Large,Heavy
316,stiff-legged barbell deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Large,Heavy
317,barbell thruster,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
318,weighted sissy squat,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Large,Heavy
319,deadlift with chains,lowerbody,Compound,Hinge,barbell,expert,0,0,Lower Back,Large,Heavy
320,hang clean - below the knees,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Quadriceps,Large,Heavy
321,good morning,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Large,Heavy
322,barbell hack squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
323,wide stance stiff legs,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Large,Heavy
324,clean,lowerbody,Compound,Squat,barbell,intermediate,0,0,Hamstrings,Large,Heavy
325,kneeling squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Glutes,Large,Heavy
326,hang snatch,lowerbody,Compound,Squat,barbell,expert,0,0,Hamstrings,Large,Heavy
327,power clean,lowerbody,Compound,Squat,barbell,intermediate,0,0,Hamstrings,Large,Heavy
328,snatch deadlift,lowerbody,Compound,Squat,barbell,intermediate,0,0,Hamstrings,Large,Heavy
329,barbell squat,lowerbody,Compound,Squat,barbell,beginner,0,0,Quadriceps,Large,Heavy
330,squat with chains,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
331,front barbell squat,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Large,Heavy
332,box squat with bands,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Large,Heavy
333,power clean from blocks,lowerbody,Compound,Squat,barbell,intermediate,0,0,Hamstrings,Large,Heavy
334,barbell hip thrust,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Glutes,Large,Heavy
335,narrow stance squats,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
336,olympic squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
337,romanian deadlift from deficit,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Large,Heavy
338,reverse band box squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
339,sumo deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Large,Heavy
340,hang clean,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
341,clean deadlift,lowerbody,Compound,Squat,barbell,beginner,0,0,Hamstrings,Large,Heavy
342,box squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
343,barbell full squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Large,Heavy
344,barbell glute bridge,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Glutes,Large,Heavy
345,barbell deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Large,Heavy
346,deficit deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Lower Back,Large,Heavy
347,barbell back squat,lowerbody,Compound,Squat,barbell,beginner,6,5,Quadriceps,Large,Heavy
348,barbell deadlift,lowerbody,Compound,Hinge,barbell,beginner,3,5,Hamstrings,Large,Heavy
349,barbell front squat,lowerbody,Compound,Squat,barbell,beginner,6,3,Quadriceps,Large,Heavy
350,barbell back squat,lowerbody,Compound,Squat,barbell,beginner,5,5,Quadriceps,Large,Heavy
351,barbell back squat,lowerbody,Compound,Squat,barbell,beginner,4,5,Quadriceps,Large,Heavy
352,barbell back squat,lowerbody,Compound,Squat,barbell,beginner,3,5,Quadriceps,Large,Heavy
353,reverse band deadlift,lowerbody,Compound,Hinge,barbell,expert,0,0,Lower Back,Medium,Moderate
354,split snatch,fullbody,Compound,Hinge,barbell,expert,0,0,Hamstrings,Medium,Moderate
355,power snatch from blocks,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Quadriceps,Medium,Moderate
356,snatch pull,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Medium,Moderate
357,leverage deadlift,lowerbody,Compound,Hinge,machine,beginner,0,0,Quadriceps,Medium,Moderate
358,hanging bar good morning,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Medium,Moderate
359,barbell reverse lunge,lowerbody,Compound,Lunge,barbell,beginner,0,0,Quadriceps,Medium,Moderate
360,lunge sprint,lowerbody,Compound,Lunge,machine,intermediate,0,0,Quadriceps,Medium,Moderate
361,elevated back lunge,lowerbody,Compound,Lunge,barbell,intermediate,0,0,Quadriceps,Medium,Moderate
362,stiff-legged deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Medium,Moderate
363,sumo deadlift with bands,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Medium,Moderate
364,muscle snatch,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Medium,Moderate
365,good morning off pins,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Medium,Moderate
366,smith machine hang power clean,lowerbody,Compound,Hinge,machine,intermediate,0,0,Hamstrings,Medium,Moderate
367,stiff leg barbell good morning,upperbody,Compound,Hinge,barbell,beginner,0,0,Lower Back,Medium,Moderate
368,smith machine stiff-legged deadlift,lowerbody,Compound,Hinge,machine,beginner,0,0,Hamstrings,Medium,Moderate
369,one-arm side deadlift,lowerbody,Compound,Hinge,barbell,expert,0,0,Quadriceps,Medium,Moderate
370,rack pulls,upperbody,Compound,Hinge,barbell,intermediate,0,0,Lower Back,Medium,Moderate
371,sumo deadlift with chains,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Medium,Moderate
372,romanian deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Medium,Moderate
373,rack pull with bands,upperbody,Compound,Hinge,barbell,intermediate,0,0,Lower Back,Medium,Moderate
374,stiff-legged barbell deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Medium,Moderate
375,split jerk,lowerbody,Compound,Lunge,barbell,intermediate,0,0,Quadriceps,Medium,Moderate
376,glute ham raise,lowerbody,Compound,Hinge,machine,intermediate,0,0,Glutes,Medium,Moderate
377,deadlift with chains,lowerbody,Compound,Hinge,barbell,expert,0,0,Lower Back,Medium,Moderate
378,hang clean - below the knees,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Quadriceps,Medium,Moderate
379,good morning,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Medium,Moderate
380,wide stance stiff legs,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Medium,Moderate
381,barbell step ups,lowerbody,Compound,Lunge,barbell,intermediate,0,0,Quadriceps,Medium,Moderate
382,deadlift with bands,upperbody,Compound,Hinge,barbell,expert,0,0,Lower Back,Medium,Moderate
383,barbell lunge,lowerbody,Compound,Lunge,barbell,intermediate,0,0,Quadriceps,Medium,Moderate
384,barbell hip thrust,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Glutes,Medium,Moderate
385,barbell walking lunge,lowerbody,Compound,Lunge,barbell,beginner,0,0,Quadriceps,Medium,Moderate
386,romanian deadlift from deficit,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Medium,Moderate
387,sumo deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Medium,Moderate
388,barbell glute bridge,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Glutes,Medium,Moderate
389,barbell deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Medium,Moderate
390,deficit deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Lower Back,Medium,Moderate
391,barbell RDL,upperbody,Compound,Hinge,barbell,beginner,6,3,Middle Back,Medium,Moderate
392,barbell deadlift,lowerbody,Compound,Hinge,barbell,beginner,3,5,Hamstrings,Medium,Moderate
393,glute bridge hamstring walkout,lowerbody,Isolation,Leg Extension,body-only,beginner,0,0,Glutes,Small,Light
394,leg lift,lowerbody,Isolation,Leg Extension,body-only,beginner,0,0,Glutes,Small,Light
395,hip extension with bands,lowerbody,Isolation,Leg Extension,bands,beginner,0,0,Glutes,Small,Light
396,standing leg curl,lowerbody,Isolation,Leg Curl,machine,beginner,0,0,Hamstrings,Small,Light
397,single-leg leg extension,lowerbody,Isolation,Leg Extension,machine,beginner,0,0,Quadriceps,Small,Light
398,seated leg curl,lowerbody,Isolation,Leg Curl,machine,beginner,0,0,Hamstrings,Small,Light
399,reverse hyperextension,lowerbody,Isolation,Hinge,machine,intermediate,0,0,Hamstrings,Small,Light
400,glute kickback,lowerbody,Isolation,Hinge,body-only,beginner,0,0,Glutes,Small,Light
401,flutter kicks,lowerbody,Isolation,Calisthenic,body-only,beginner,0,0,Glutes,Small,Light
402,cable hip adduction,lowerbody,Isolation,Leg Extension,cable,beginner,0,0,Quadriceps,Small,Light
403,kettlebell one-legged deadlift,lowerbody,Isolation,Hinge,kettlebells,intermediate,0,0,Hamstrings,Small,Light
404,lateral band walk,lowerbody,Isolation,Leg Extension,bands,beginner,0,0,Abductors,Small,Light
405,lying leg curls,lowerbody,Isolation,Leg Curl,machine,beginner,0,0,Hamstrings,Small,Light
406,monster walk,lowerbody,Isolation,Calisthenic,bands,beginner,0,0,Abductors,Small,Light
407,dumbbell seated one-leg calf raise,lowerbody,Isolation,Leg Extension,dumbbell,beginner,0,0,Calves,Small,Light
408,fire hydrant,lowerbody,Isolation,Leg Extension,body-only,beginner,0,0,Abductors,Small,Light
409,smith machine reverse calf raises,lowerbody,Isolation,Leg Extension,machine,beginner,0,0,Calves,Small,Light
410,one-legged cable kickback,lowerbody,Isolation,Hinge,cable,intermediate,0,0,Glutes,Small,Light
411,natural glute ham raise,lowerbody,Isolation,Hinge,body-only,intermediate,0,0,Hamstrings,Small,Light
412,band hip adductions,lowerbody,Isolation,Leg Extension,bands,beginner,0,0,Adductors,Small,Light
413,calf press,lowerbody,Isolation,Leg Extension,machine,beginner,0,0,Calves,Small,Light
414,standing dumbbell calf raise,lowerbody,Isolation,Leg Extension,dumbbell,intermediate,0,0,Calves,Small,Light
415,standing calf raises,lowerbody,Isolation,Leg Extension,machine,beginner,0,0,Calves,Small,Light
416,calf press on the leg press machine,lowerbody,Isolation,Leg Extension,machine,beginner,0,0,Calves,Small,Light
417,seated calf raise,lowerbody,Isolation,Leg Extension,machine,beginner,0,0,Calves,Small,Light
418,thigh abductor,lowerbody,Isolation,Hinge,machine,beginner,0,0,Abductors,Small,Light
419,smith machine calf raise,lowerbody,Isolation,Leg Extension,machine,beginner,0,0,Calves,Small,Light
420,thigh adductor,lowerbody,Isolation,Leg Extension,machine,beginner,0,0,Adductors,Small,Light
421,leg curls,lowerbody,Isolation,Leg Curl,machine,beginner,12,3,Quadriceps,Small,Light
422,Leg Extension,lowerbody,Isolation,Leg Extension,machine,beginner,12,3,Quadriceps,Small,Light
